# x y z w pot
-3.8217580414 3.8217580414 8.7924512506 5.1373297627 1
-4.0764670044 4.0764670044 6.6642745149 2.5641682696 1
-3.2576777858 3.2576777858 7.5980297725 2.5064099983 1
-3.0208906945 5.4010533285 8.2101447625 5.2450409466 1
-4.7823239678 4.7823239678 7.6970124445 5.255715536 1
-3.4822207892 3.4822207892 11.829240155 15.041171564 1
-4.779519141 4.779519141 10.82047903 15.973146634 1
-5.4793865288 2.5007434649 11.275174277 15.787354771 1
-4.0701274249 1.2074904831 12.105601308 14.609492021 1
-1.7271569421 1.7271569421 10.119835661 4.2316708797 1
-2.1599953673 2.1599953673 12.480515885 13.157243663 1
-0.9210443483 0.9210443483 12.800209563 9.5530018681 1
0.0 2.5590401664 12.598026256 12.482308254 1
0.0 2.0462377167 10.213798295 4.0145961951 1
-0.73647757039 0.73647757039 10.375466374 3.0724641766 1
-2.5007434649 5.4793865288 11.275174277 15.787354771 1
0.0 5.7394089188 11.431770218 15.790701312 1
-1.2074904831 4.0701274249 12.105601308 14.609492021 1
-0.8859254474 4.8983515477 7.3354374486 2.5749423276 1
-1.7044845294 3.7347011798 7.9079460132 2.4772566578 1
-1.4935253225 3.2724678271 7.0158394734 1.4370438343 1
-2.5750161058 4.6038737298 7.1016700109 2.558960331 1
0.0 3.9119301308 8.0146804155 2.4777817769 1
0.0 3.4277616544 7.1093636621 1.4373484532 1
-0.96552316826 3.2545203308 9.8200496878 4.6987472097 1
0.0 4.5892968605 9.2812466595 5.078651169 1
-1.9996230091 4.3813799905 9.156030758 5.0775748447 1
-1.0393270683 5.7465211871 8.4843899899 5.2777988699 1
-0.62777564535 0.62777564535 8.9473965159 1.4989995363 1
-1.2900194774 1.2900194774 7.73570868 1.1976379931 1
0.0 1.5283420085 7.805889695 1.1362020031 1
-0.55007763758 0.55007763758 7.9266401411 0.86956191416 1
-0.48937294556 0.48937294556 7.129133189 0.55440214765 1
0.0 1.3596793969 7.0217083504 0.72440250709 1
-1.1476573275 1.1476573275 6.9592722729 0.76357193736 1
-2.4308124605 0.72115258464 7.5117975024 1.3298288875 1
-2.1625562878 0.64156864493 6.7600711691 0.84785221065 1
-2.7741626943 0.82301478609 8.4739577003 2.2924335268 1
-1.4722336532 1.4722336532 8.7294961451 2.0645554583 1
-2.3734507543 2.3734507543 8.2855923936 2.3601700817 1
-2.7844234766 2.7844234766 9.5990681565 4.8375852369 1
-2.0796954987 2.0796954987 7.3467456345 1.3691225143 1
-0.64156864493 2.1625562878 6.7600711691 0.84785221065 1
-0.72115258464 2.4308124605 7.5117975024 1.3298288875 1
0.0 1.7442190432 8.80959017 1.9586486575 1
-0.82301478609 2.7741626943 8.4739577003 2.2924335268 1
-5.7313305808 5.7313305808 2.4639176621 2.3490392959 1
-5.0219800806 5.0219800806 2.2456030419 1.3756319576 1
-5.3558293709 5.3558293709 2.6819892814 0.15916134904 1
-5.7313305808 5.7313305808 1.0639102832 0.74502549337 1
-5.1395255238 5.1395255238 0.70000368944 0.99923004643 1
-5.0219800806 5.0219800806 0.84559566303 0.45972069619 1
-5.8654792198 5.8654792198 0.70000368944 1.6735930559 1
-4.0340653603 5.6093502714 1.5563099899 0.24772828334 1
-4.2920964955 5.8141849777 1.4762806616 1.2090539666 1
-3.5888796655 4.9903215064 1.3073109075 0.17151493823 1
-3.8184353647 5.1725513531 1.3906133825 0.78378026774 1
-3.0494855688 5.7020448655 0.70000368944 0.62119150291 1
-2.9113294386 5.6188416873 0.62870127225 0.30780647873 1
-4.0764670044 5.9642708255 3.3764633149 0.04874901744 1
-4.0340653603 5.6093502714 2.9563173688 1.4400413224 1
-3.5888796655 4.9903215064 2.7073182864 0.92164058048 1
-3.5719342667 5.2260899731 2.8719305773 0.033453662706 1
-2.8544842631 6.0442769958 2.1544805737 0.11859172081 1
-2.9113294386 5.6188416873 2.0287086511 0.84028137009 1
-3.624535233 3.624535233 1.8155157423 0.42725289148 1
-4.0119863092 4.0119863092 1.9347603675 0.60307046794 1
-4.175055236 4.175055236 1.9363774353 0.07441415727 1
-4.175055236 4.175055236 3.3363848142 0.94803859811 1
-3.7491318652 3.7491318652 3.0674311664 0.64149688168 1
-3.733304072 3.733304072 3.0333003826 0.0040601586157 1
-3.387065531 3.387065531 2.8388006944 0.45127276884 1
-3.352446487 3.352446487 2.6524427975 0.0035594763928 1
-2.8535659531 4.1750467119 2.1535622637 0.019934852036 1
-2.9115233028 4.0484604412 2.3284626431 0.44090932691 1
-3.2227557131 4.481227749 2.5025396306 0.6252398271 1
-3.1777477833 4.6493565075 2.4777440938 0.025093063263 1
-4.0119863092 4.0119863092 0.53475298861 0.22316787121 1
-4.1058916415 4.1058916415 0.70000368944 0.45466562309 1
-2.9115233028 4.0484604412 0.92845526426 0.09612358126 1
-3.70937181 3.70937181 0.70000368944 0.32816036501 1
-3.624535233 3.624535233 0.41550836341 0.16649801988 1
-3.2875715778 3.2875715778 0.31180209639 0.1277448061 1
-3.364521118 3.364521118 0.70000368944 0.24332758376 1
-3.2875715778 3.2875715778 1.7118094753 0.31089057156 1
-3.387065531 3.387065531 1.4387933155 0.044577401305 1
-3.7491318652 3.7491318652 1.6674237876 0.056442202425 1
-3.0977532212 4.1962966727 1.2602693996 0.3844035756 1
-3.4288930066 4.6448671948 1.3201599892 0.53840626202 1
-3.2227557131 4.481227749 1.1025322517 0.12586457452 1
-4.4677714866 4.4677714866 0.67502858983 0.31113946657 1
-4.5723450155 4.5723450155 0.70000368944 0.65479641215 1
-4.9903215064 3.5888796655 1.3073109075 0.17151493823 1
-4.6448671948 3.4288930066 1.3201599892 0.53840626202 1
-5.1725513531 3.8184353647 1.3906133825 0.78378026774 1
-5.8141849777 4.2920964955 1.4762806616 1.2090539666 1
-5.6093502714 4.0340653603 1.5563099899 0.24772828334 1
-4.9903215064 3.5888796655 2.7073182864 0.92164058048 1
-5.2260899731 3.5719342667 2.8719305773 0.033453662706 1
-5.6093502714 4.0340653603 2.9563173688 1.4400413224 1
-4.4677714866 4.4677714866 2.0750359687 0.88475464902 1
-4.6929535885 4.6929535885 2.2634096215 0.10398611472 1
-2.2563136794 5.6093502714 3.3340616709 0.0090530865778 1
-1.8501873964 5.913230173 2.5501910858 0.84173701463 1
-2.007314597 4.9903215064 2.8888759761 0.0072530679596 1
-1.5009875563 4.7971815853 2.2009912457 0.40345092759 1
-1.6614382642 5.3099847582 2.3614419536 0.57158598972 1
-2.5394731152 5.3772512008 1.8394694257 0.084346985472 1
-2.614326602 5.0456286742 1.8931591879 0.57300729646 1
-2.2804056566 4.828684337 2.9804093461 0.62317780425 1
-2.5394731152 5.3772512008 3.2394768046 0.9207174785 1
-0.64156864493 6.0600674797 2.8625599772 0.83204846007 1
-1.1931554985 5.0456286742 3.3143302915 0.61860468252 1
-0.69060969305 5.1725513531 3.1184316752 0.002716014273 1
-0.57611823424 5.4418422773 2.6419441502 0.56399628772 1
-1.1931554985 5.0456286742 1.9143229126 0.033802028621 1
0.0 5.1203437784 2.038384876 0.025634429612 1
-0.52048054939 4.9163051781 2.4544043972 0.3974072154 1
0.0 5.6767882212 1.9209737282 0.45465670963 1
0.0 5.7020448655 2.3494818794 0.032704208727 1
-1.3287049617 5.6188416873 2.2113257492 0.043666236397 1
-1.1476573275 6.2592685834 1.847661017 0.68309624296 1
-1.0779284398 4.5583552617 3.0618559365 0.43495217166 1
-0.6201562998 4.6448671948 2.7288893171 0.0024454932164 1
-0.97771622395 4.1345767765 2.8422806489 0.31418174971 1
-1.234756678 4.0119863092 3.3119826197 2.6159657915e-06 1
0.0 4.6258548757 3.1739368169 0.43526843747 1
0.0 4.1058916415 3.4058879521 4.5038380989e-09 1
0.0 4.1958011262 2.9439416601 0.31436947588 1
0.0 3.4230872039 3.346753461 0.17782102839 1
-0.35467102028 3.3869336434 2.6838002677 0.12876391192 1
0.0 3.364521118 2.6645174286 1.4222464935e-06 1
0.0 3.70937181 3.0093681206 2.2707803426e-07 1
-0.38939440305 3.7185248548 2.8780200488 0.17255940841 1
-1.1155120529 3.624535233 2.9245315435 6.946536988e-06 1
-1.140038285 3.6348739656 2.7520305709 0.17257867668 1
-0.78605800111 3.376437155 3.2893270212 0.17711912847 1
-1.3076379777 3.480334142 2.0076416671 0.12403072342 1
-1.0383778979 3.3107421367 2.5690456222 0.12878510817 1
-1.0118057858 3.2875715778 2.5875678884 1.4674663692e-05 1
-0.74458573503 3.9341542419 2.3403795131 0.16348530618 1
-0.61822443999 3.2665013424 2.0619965094 0.092061636968 1
-0.78605800111 3.376437155 1.8893196423 0.0012983215085 1
-0.67818895255 3.5833347578 2.194102635 0.1221038688 1
-0.50817925783 3.806177837 2.1097594361 0.00218977955 1
0.0 3.2982311051 2.1244083009 0.091664992424 1
0.0 3.4230872039 1.9467460821 0.00090717388407 1
0.0 3.6181421402 2.2625680414 0.12160673844 1
0.0 3.9723693741 2.4155478932 0.16286257099 1
-0.35537631789 4.1413675542 1.9023317696 0.14559837421 1
-0.56026571014 4.1962966727 2.3977495317 0.002282454482 1
-0.47209282046 4.4592490161 2.2913023063 0.28763761673 1
-2.6408465205 3.6720855571 2.177069031 0.31936707182 1
-2.5779874455 3.7718483416 1.8779837561 0.016492042433 1
-2.4275534586 3.2422567451 2.2223590235 0.17526915424 1
-2.5779874455 3.7718483416 3.277991135 0.4505560591 1
-2.3383186282 3.4211893681 3.0383223177 0.32538642747 1
-2.367427477 3.7491318652 3.0491281757 0.00024992562279 1
-2.1387970049 3.387065531 2.6870618415 0.00028555941524 1
-1.5223553341 3.2422567451 3.1275571481 0.17645232517 1
-1.4770653415 3.6720855571 3.3408502099 0.32475416205 1
-2.0601791758 4.3623619723 2.7601828653 0.43849524998 1
-1.6284589537 4.0484604412 2.2115196133 0.0054016192561 1
-1.3614446299 4.3512000352 2.0614483193 0.29250072197 1
-1.8025359411 4.481227749 2.5227520237 0.0061380464236 1
-1.8241543444 3.4738641618 2.5241580338 0.17390518866 1
-1.8686496525 3.9568044757 2.568653342 0.31695684257 1
-2.0520268814 3.6348739656 1.8400419744 0.16796131963 1
-1.4770653415 3.6720855571 1.940842831 0.0048971917136 1
-1.435659754 3.8210695493 2.1356634434 0.16589395463 1
-2.6408465205 3.6720855571 0.7770616521 0.075553493462 1
-2.1780163594 3.7185248548 0.31060928639 0.10695500843 1
-2.4275534586 3.2422567451 0.82235164463 0.034296056204 1
-2.6467497715 3.4230872039 0.70000368944 0.13404191108 1
-2.4739331274 4.6258548757 0.70000368944 0.31131879551 1
-2.2439379706 4.1958011262 0.70000368944 0.23083973072 1
-2.1422769595 4.1345767765 0.27771253451 0.12582632362 1
-2.3618522471 4.5583552617 0.37792475034 0.16424339819 1
-2.3618522471 4.5583552617 1.7779321292 0.406130035 1
-2.1422769595 4.1345767765 1.6777199134 0.29564790268 1
-2.8097631256 3.806177837 1.2081829473 0.28189439412 1
-2.5893233317 3.376437155 1.4860616906 0.16540154789 1
-2.3383186282 3.4211893681 1.6383149388 0.014064625217 1
-2.1780163594 3.7185248548 1.0893980925 0.14834064321 1
-1.8241543444 3.4738641618 1.1241506549 0.019265833657 1
-1.9837965783 3.3869336434 1.0546747097 0.11253166332 1
-1.8686496525 3.9568044757 1.1686459631 0.040351700509 1
-1.8690419328 3.3107421367 1.7383815874 0.12588213728 1
-1.5223553341 3.2422567451 1.7275497692 0.0029908628432 1
-1.6403758236 3.9341542419 1.4445894245 0.15223281262 1
-1.3619928199 3.2665013424 1.3182281294 0.087214739776 1
-1.4940989456 3.5833347578 1.378192642 0.1146949247 1
-1.5912986169 4.4592490161 1.1720965099 0.24874618581 1
-2.0601791758 4.3623619723 1.3601754864 0.049910497274 1
-1.5912986169 4.4592490161 0.22791086898 0.1689842279 1
-1.3614446299 4.3512000352 0.66144094042 0.080558949799 1
-1.4244046115 3.2982311051 0.70000368944 0.072958955669 1
-1.9837965783 3.3869336434 0.34533266916 0.083031617784 1
-1.8690419328 3.3107421367 0.33837420847 0.045554632035 1
-1.7155442037 3.9723693741 0.70000368944 0.12307068485 1
-2.0520268814 3.6348739656 0.44003459554 0.056577523028 1
-1.562564352 3.6181421402 0.70000368944 0.094304991257 1
-1.435659754 3.8210695493 0.73565606455 0.037247175989 1
-1.0005084982 4.6517725065 0.70000368944 0.18247528208 1
-0.74631081111 4.2621391967 0.70000368944 0.093851629091 1
-1.2023280802 4.1413675542 0.34462737155 0.094169519437 1
-1.0318723014 4.0734861564 0.33186861193 0.057168435552 1
-0.47209282046 4.4592490161 0.89129492742 0.057846358396 1
0.0 4.3269862906 0.70000368944 0.02233925489 1
-0.26373129058 4.3108818091 0.96373498002 0.077502804973 1
-0.35537631789 4.1413675542 0.50232439073 0.045343982746 1
-0.26373129058 4.3108818091 0.43627239886 0.062225590888 1
0.0 4.6517725065 0.30050480872 0.097469189446 1
-0.36010091196 4.7308201586 0.33990277748 0.11782500472 1
-0.74458573503 3.9341542419 0.94037213418 0.02608310174 1
-0.6797601988 3.8820723813 0.70000368944 0.071915396192 1
-0.61822443999 3.2665013424 0.66198913048 0.018507801358 1
-0.61965675885 3.5388250057 0.70000368944 0.055637269383 1
-0.67818895255 3.5833347578 0.79409525615 0.021822677816 1
-1.3076379777 3.480334142 0.60763428826 0.030616334166 1
-0.99828477645 3.4385491375 0.99507021406 0.073781603896 1
-0.99828477645 3.4385491375 0.40493716482 0.057179984378 1
-0.93985737613 3.7102420576 0.23985368669 0.045733862537 1
-1.0951131387 3.7720702823 0.37631726697 0.073013049053 1
-0.29506652462 3.4385491375 0.29828108701 0.029987190959 1
-0.21897428564 3.5792956632 0.4810294038 0.037530551031 1
-0.19965872771 3.2635686703 0.50034496173 0.029487959504 1
-0.24021363733 3.9264684792 0.45979005211 0.048087125353 1
-0.32368642247 3.7720702823 0.39510944925 0.036654655363 1
-0.24021363733 3.9264684792 0.94021732677 0.058967125591 1
-0.19965872771 3.2635686703 0.89966241715 0.034997266181 1
-0.21897428564 3.5792956632 0.91897797508 0.045287411501 1
0.0 3.592667104 0.70000368944 0.013243191985 1
0.0 3.2757606263 0.70000368944 0.010311199456 1
0.0 3.2982311051 0.72440092204 0.01624745319 1
0.0 3.9411368793 0.70000368944 0.017117831428 1
0.0 3.6181421402 0.86256066257 0.019009490237 1
-0.52418322544 3.5153550052 1.2241869149 0.069313921237 1
-0.35467102028 3.3869336434 1.2837928889 0.0067764231554 1
-0.32368642247 3.7720702823 1.7951168281 0.10905489421 1
-0.38939440305 3.7185248548 1.4780126699 0.0075411773664 1
-0.29506652462 3.4385491375 1.6982884659 0.082445960154 1
0.0 3.9723693741 1.0155405143 0.022552402272 1
0.0 3.8820723813 1.3797638882 0.087040197895 1
0.0 3.5388250057 1.3196604483 0.066184037872 1
-1.140038285 3.6348739656 1.352023192 0.010962061316 1
-1.0951131387 3.7720702823 1.0236901119 0.096282190216 1
-0.5750262358 3.8563259143 1.2750299252 0.090974270402 1
-1.0383778979 3.3107421367 1.1690382433 0.0096401123038 1
-0.85675650988 3.3821876774 1.5567601993 0.084788273086 1
-0.93985737613 3.7102420576 1.6398610656 0.11195453242 1
-1.2023280802 4.1413675542 1.0553800073 0.12682279864 1
-0.6313230713 4.2338720715 1.3313267607 0.12051242428 1
-0.97771622395 4.1345767765 1.4422732701 0.022639819563 1
-1.0318723014 4.0734861564 1.7318759908 0.14919905984 1
-1.0779284398 4.5583552617 1.6618485576 0.027250054966 1
-0.84449386508 4.6058294509 1.5444975545 0.24166008574 1
0.0 4.2621391967 1.4463145006 0.11553037945 1
0.0 4.1958011262 1.5439342812 0.017606629132 1
-0.36010091196 4.7308201586 1.0601046014 0.15786063822 1
0.0 4.6517725065 1.7005121876 0.23444779179 1
0.0 4.6258548757 1.773929438 0.020925451436 1
-1.1476573275 6.2592685834 0.44765363808 0.29183307475 1
-1.0305776603 5.6207216366 0.33057397091 0.20792668335 1
-1.2209700388 5.6767882212 0.70000368944 0.34096108851 1
0.0 5.8066076451 0.70000368944 0.093956675921 1
-0.43944896545 5.7732539835 0.26055472399 0.21584122015 1
0.0 5.6767882212 0.52096634933 0.17044442812 1
-1.1030568359 5.1285615983 0.70000368944 0.24609275383 1
-0.9310512929 5.0779095532 0.23104760346 0.15407037781 1
-0.39700989376 5.2157113358 0.30299379568 0.1573159882 1
0.0 4.758151396 0.70000368944 0.050283658516 1
0.0 5.2458439217 0.70000368944 0.067814357408 1
0.0 5.1285615983 0.40305314648 0.12710138467 1
-0.52048054939 4.9163051781 1.0543970183 0.073061916571 1
-0.39700989376 5.2157113358 1.0970135832 0.21464725271 1
0.0 5.1285615983 1.8030605254 0.32215304082 1
-0.57611823424 5.4418422773 1.2419367713 0.094995063289 1
-0.9310512929 5.0779095532 1.6310549823 0.33136529312 1
-1.0305776603 5.6207216366 1.7305813498 0.46667336993 1
-0.64156864493 6.0600674797 1.4625525983 0.12855724303 1
-0.43944896545 5.7732539835 1.1394526549 0.29978946855 1
-1.9419404608 5.4418422773 1.2761219237 0.47445709997 1
-1.7544007078 4.9163051781 1.2204842388 0.33897210401 1
-1.6614382642 5.3099847582 0.96143457476 0.13599704911 1
-1.5009875563 4.7971815853 0.80098386684 0.10318559661 1
-2.7383885655 5.1203437784 0.70000368944 0.43133165742 1
-2.614326602 5.0456286742 0.49315180904 0.22046498168 1
-2.2804056566 4.828684337 1.5804019672 0.063586646444 1
-2.1625562878 6.0600674797 1.3415723344 0.69022832484 1
-1.8501873964 5.913230173 1.1501837069 0.18651120012 1
-5.3772512008 2.5394731152 3.2394768046 0.9207174785 1
-5.3772512008 2.5394731152 1.8394694257 0.084346985472 1
